Name,CPRD: Difficulty,CPRD: Est (min),CPRD: Priority,CPRD: Schema Version,CPRD: Unit Type,Category,Companies,Completed,Difficulty,Interview Frequency,Interview Signal,LeetCode Link,Notes,Pattern Notes,Pattern Role,Primary Pattern,Priority,Purpose,Role,Secondary Pattern,Source,Status,Sub-Pattern,TUF Link,Thinking Level
Rotate Array,,,,,,Basic Operations,"Amazon, Microsoft",No,Easy,,In-place reversal technique,https://leetcode.com/problems/rotate-array/,,Three reversal trick. O(1) space solution essential.,,Array,P1 - High,,Reinforcement,Reverse trick,Striver A2Z,,Basic Operations,,L3
Rotate Image,,,,,,Arrays,"Amazon, Google, Meta",No,Medium,,In-place transform,https://leetcode.com/problems/rotate-image/,,Transpose + reverse rows. Or layer-by-layer rotation.,,Matrix,P1 - High,,Core,Transpose+reverse,Striver A2Z,,Other,,L4
Search a 2D Matrix,,,,,,Binary Search,"Amazon, Meta",No,Medium,,2D→1D mapping,https://leetcode.com/problems/search-a-2d-matrix/,,Treat as 1D array. Binary search!,,Binary Search,P1 - High,,Reinforcement,Index mapping,Gap Filler,,Other,,L4
Serialize and Deserialize Binary Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Hard,,Design + reconstruction,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,BFS or preorder with null markers. Reconstruct using queue. Very common in system design!,,Tree traversal,P1 - High,,Synthesis,Encoding,Gap Filler,,BFS,,L6
Set Matrix Zeroes,,,,,,Arrays,"Amazon, Meta",No,Medium,,Space-optimized marking,https://leetcode.com/problems/set-matrix-zeroes/,,Use first row/col as markers. O(1) space trick!,,Matrix,P1 - High,,Synthesis,In-place markers,Gap Filler,,Other,,L5
Shortest Common Supersequence,,,,,,Dynamic Programming,Amazon,No,Hard,,DP + reconstruct output,https://leetcode.com/problems/shortest-common-supersequence/,,LCS application. SCS length = len(s1) + len(s2) - LCS. Then reconstruct the string.,,String DP,P2 - Medium,,Synthesis,Reconstruction,Gap Filler,,DP,,L6
Single Number (XOR),,,,,,Bit Manipulation,"Amazon, Apple, Google",No,Easy,,XOR identity,https://leetcode.com/problems/single-number/,,"XOR properties: a^a=0, a^0=a. Foundation for XOR patterns.",,XOR,P0 - Must Do,,Core,Basics,Striver A2Z,,Bit Manipulation,,L2
Single Number II (Threes),,,,,,Bit Manipulation,"Amazon, Google",No,Medium,,Bitwise counting proof,https://leetcode.com/problems/single-number-ii/,,Count bits mod 3. Advanced bit manipulation pattern.,,Bit counting,P1 - High,,Synthesis,Mod arithmetic,Gap Filler,,Bit Manipulation,,L5
Sort Colors (Dutch National Flag),,,,,,Dutch National Flag,"Amazon, Meta, Microsoft",No,Medium,,Invariant-driven partition,https://leetcode.com/problems/sort-colors/,,"Three-way partitioning. low, mid, high pointers pattern.",,3-way partition,P0 - Must Do,,Core,Invariants,Striver A2Z,,Dutch National Flag,,L4
Spiral Matrix,,,,,,Matrix,"Amazon, Google, Microsoft",No,Medium,,Boundary correctness,https://leetcode.com/problems/spiral-matrix/,,Layer-by-layer traversal with four boundaries. Edge case handling.,,Matrix traversal,P1 - High,,Reinforcement,Boundaries,Striver A2Z,,Matrix,,L4
Split Array with Same Average,,,,,,Binary Search,Google,No,Hard,,Hard modeling + DP,https://leetcode.com/problems/split-array-with-same-average/,,BSOA + DP combo. Complex problem combining multiple techniques. Google favorite.,,DP/Math,P1 - High,,Synthesis,Subset reasoning,Gap Filler,,Binary Search on Answer,,L6
Stone Game (Optimal Strategy),,,,,,Game Theory,Google,No,Medium,,Optimal play reasoning,https://leetcode.com/problems/stone-game/,,Game theory DP. Player maximizes difference. First player always wins for even n.,,Game DP,P2 - Medium,,Synthesis,Minimax,Gap Filler,,Game Theory,,L5
Student Attendance Record II,,,,,,Dynamic Programming,Google,No,Hard,,Multi-constraint DP,https://leetcode.com/problems/student-attendance-record-ii/,,"State machine DP! Track (absences, consecutive lates). Similar to stock cooldown pattern!",,State DP,P2 - Medium,,Synthesis,Multiple constraints,Gap Filler,,DP,,L6
Subsets II,,,,,,Recursion,"Amazon, Meta",No,Medium,,Dedup recursion,https://leetcode.com/problems/subsets-ii/,,Sort + skip duplicates. Same pattern as Subsets with dedup!,,Backtracking,P1 - High,,Synthesis,Dedup,Gap Filler,,Other,,L5
Subtree of Another Tree,,,,,,Binary Trees,"Amazon, Meta",No,Easy,,Tree matching,https://leetcode.com/problems/subtree-of-another-tree/,,Check if same tree at each node.,,Tree DFS,P1 - High,,Reinforcement,Match,Gap Filler,,DFS,,L4
Sum of Two Integers,,,,,,Bit Manipulation,"Amazon, Meta",No,Medium,,Binary addition reasoning,https://leetcode.com/problems/sum-of-two-integers/,,"XOR for sum without carry, AND << 1 for carry. Repeat until no carry. Bit arithmetic!",,Bit ops,P2 - Medium,,Synthesis,Carry logic,Gap Filler,,Other,,L5
Surrounded Regions,,,,,,Graphs,"Amazon, Meta",No,Medium,,Reverse marking,https://leetcode.com/problems/surrounded-regions/,,DFS from borders. Mark safe O's first!,,Graph DFS,P1 - High,,Synthesis,Boundary marking,Gap Filler,,DFS,,L5
Target Sum,,,,,,Dynamic Programming,"Google, Meta",No,Medium,,Problem transformation,https://leetcode.com/problems/target-sum/,,0/1 knapsack variant. Convert to: count subsets with sum = (target + total) / 2. Very common!,,Knapsack,P1 - High,,Synthesis,Transform,Gap Filler,,DP,,L5
Time Based Key-Value Store,,,,,,Binary Search,"Amazon, Google",No,Medium,,Design with ordered data,https://leetcode.com/problems/time-based-key-value-store/,,"Design problem with BS. Store values with timestamps, BS to find largest timestamp <= query. System design flavor.",,Binary Search,P1 - High,,Synthesis,Design,Gap Filler,,Other,,L5
Validate Binary Search Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,,Invariant via bounds,https://leetcode.com/problems/validate-binary-search-tree/,,Pass min/max bounds recursively. Or inorder traversal should be sorted. Classic!,,Tree DFS,P1 - High,,Synthesis,Bounds,Gap Filler,,DFS,,L5
Walls and Gates,,,,,,Graphs,"Google, Meta",No,Medium,,Distance fill,https://leetcode.com/problems/walls-and-gates/,,Multi-source BFS from gates. Similar to rotting oranges!,,Multi-source BFS,P1 - High,,Synthesis,Distances,Gap Filler,,BFS,,L5
Wiggle Sort,,,,,,Sorting Variants,"Google, Microsoft",No,Medium,,Local inequality constraints,https://leetcode.com/problems/wiggle-sort/,,Swap adjacent elements if order wrong. nums[i] <= nums[i+1] >= nums[i+2].,,Greedy,P2 - Medium,,Reinforcement,Local fix,Gap Filler,,Sorting Variants,,L4
Wiggle Sort II,,,,,,Sorting Variants,"Amazon, Google",No,Medium,,Hard indexing trick,https://leetcode.com/problems/wiggle-sort-ii/,,"Find median, three-way partition, interleave. Virtual indexing trick: (1 + 2*i) % (n|1).",,Partition,P2 - Medium,,Synthesis,Virtual indexing,Gap Filler,,Sorting Variants,,L6
Word Search II,,,,,,Strings,"Amazon, Google, Meta",No,Hard,,Trie + DFS pruning,https://leetcode.com/problems/word-search-ii/,,Trie + DFS on grid. Optimize with pruning!,,Trie,P1 - High,,Synthesis,Grid DFS,Gap Filler,,DFS,,L6
Shortest Path Visiting All Nodes,,,,,,Graphs,Google,No,Hard,,State explosion control,https://leetcode.com/problems/shortest-path-visiting-all-nodes/,,"State = (node, mask). Canonical bitmask DP.",,Bitmask DP,P1 - High,,Synthesis,BFS on state graph,Missing Pattern,,Bitmask DP,,L6
Split Array Into Consecutive Subsequences,,,,,,Greedy,Google,No,Medium,,Greedy correctness proof,https://leetcode.com/problems/split-array-into-consecutive-subsequences/,,Greedy with frequency + tails. Proof-heavy.,,Greedy,P1 - High,,Synthesis,Counts + tails,Missing Pattern,,Greedy Proof,,L6
Employee Free Time,,,,,,Greedy,"Amazon, Google, Meta",No,Hard,,,https://leetcode.com/problems/employee-free-time/,,"Merge K sorted interval lists using min-heap (by start). Track current merged end; whenever next.start > curEnd, that gap is free time. Multi-list interval synthesis.",,,P1 - High,,,,Augmentation,,Intervals + Heap,,
Accounts Merge,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,,,https://leetcode.com/problems/accounts-merge/,,Map each email -> id. Union emails belonging to same account. Finally group by DSU parent and sort emails. Tests DSU + hashing + grouping.,,,P0 - Must Do,,,,Augmentation,,DSU / Union-Find,,
Maximum Frequency Stack,,,,,,Stack & Queue,"Amazon, Meta",No,Hard,,,https://leetcode.com/problems/maximum-frequency-stack/,,"Maintain freq map and group stacks: freq->stack of values. Track maxFreq. push: increment freq, push to that stack. pop: pop from maxFreq stack; decrement freq; drop maxFreq if empty.",,,P1 - High,,,,Augmentation,,Hashing + Stack,,
Minimum Cost to Make at Least One Valid Path in a Grid,,,,,,Graphs,"Amazon, Google, Meta",No,Hard,,,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/,,"Edges have cost 0 if you follow the cell’s arrow, else cost 1 to change direction. Use 0-1 BFS (deque) to find min cost from (0,0) to (m-1,n-1).",,,P1 - High,,,,Augmentation,,0-1 BFS,,
Reorganize String,,,,,,Heaps,"Amazon, Google, Meta",No,Medium,,,https://leetcode.com/problems/reorganize-string/,,"Max-heap by remaining count. Pop top two, append alternately, decrement counts, push back if remaining. If max count > (n+1)/2 impossible. Scheduling-with-constraints archetype.",,,P0 - Must Do,,,,Augmentation,,Greedy + Heap,,
Partition Labels,,,,,,Greedy,"Amazon, Google, Meta",No,Medium,,,https://leetcode.com/problems/partition-labels/,,"Compute last index of each char. Sweep i, maintain current segment end = max(last[s[i]]). When i==end, cut partition. Greedy proof required.",,,P1 - High,,,,Augmentation,,Last Occurrence Greedy,,
Find K Pairs with Smallest Sums,,,,,,Heaps,"Amazon, Google",No,Medium,,,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,,"If arrays sorted: push pairs (i,0) for i in [0..min(k,n1)). Pop smallest sum, push neighbor (i,j+1). This is k-way merge on pair grid; avoid O(n1*n2).",,,P2 - Medium,,,,Augmentation,,K-way Merge / Best-first Search,,
Minimum Cost to Connect Sticks,,,,,,Heaps,"Amazon, Google",No,Medium,,,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,,Always merge two smallest sticks first (min-heap). Total cost accumulates like Huffman coding optimal merge pattern.,,,P1 - High,,,,Augmentation,,Greedy (Huffman Merge),,
Time Needed to Inform All Employees,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,,,https://leetcode.com/problems/time-needed-to-inform-all-employees/,,Build adjacency list from manager[] then DFS/BFS accumulate time along paths; answer = max root-to-leaf time. Common org-tree propagation model.,,,P1 - High,,,,Augmentation,,Tree DFS/BFS,,
Largest Divisible Subset,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,,,https://leetcode.com/problems/largest-divisible-subset/,,Sort. dp[i]=max subset ending at i where nums[i]%nums[j]==0. Track parent for reconstruction. Pattern: LIS-style DP + parent pointers.,,,P2 - Medium,,,,Augmentation,,DP + Reconstruction,,
Minimum Number of Taps to Open to Water a Garden,,,,,,Greedy,"Amazon, Google",No,Hard,,,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,,"Convert each tap to interval [i-r, i+r]. Build farthest reach per left boundary then run greedy like Jump Game II to count minimum segments to cover [0..n]. Strong reduction problem.",,,P2 - Medium,,,,Augmentation,,Interval Coverage -> Jump Game Reduction,,
Binary Indexed Tree (Fenwick) - Range Sum Query Mutable,,,,,,Trees,Product Companies,No,Medium,,,https://leetcode.com/problems/range-sum-query-mutable/,,"Core BIT template. Point update + prefix sum. Use to solve inversion count, frequency prefix queries.",,,P1 - High,,,,Delta Pack,,Fenwick / BIT,,
Count of Smaller Numbers After Self (Fenwick variant),,,,,,Trees,Product Companies,No,Hard,,,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,,You already have this—ensure you can solve with BIT + compression (not only mergesort).,,,P1 - High,,,,Delta Pack,,Fenwick / Coordinate Compression,,
Number of Connected Components in an Undirected Graph,,,,,,Graphs,Product Companies,No,Medium,,,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,,"Classic DSU application. Build DSU, union edges, count unique parents.",,,P1 - High,,,,Delta Pack,,DSU / Union-Find,,
Evaluate Division,,,,,,Graphs,Product Companies,No,Medium,,,https://leetcode.com/problems/evaluate-division/,,Graph BFS/DFS or DSU with weights. Common in real interviews.,,,P1 - High,,,,Delta Pack,,Weighted Union-Find / Graph BFS,,
Find the Duplicate Number,,,,,,Linked List,Product Companies,No,Medium,,,https://leetcode.com/problems/find-the-duplicate-number/,,Floyd’s cycle detection on array-as-linked-list. Very common trick question.,,,P0 - Must Do,,,,Delta Pack,,Cycle Detection Trick,,
Minimum Deletions to Make Character Frequencies Unique,,,,,,Greedy,Product Companies,No,Medium,,,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,,Frequency counts + greedy using set/heap to reduce collisions. Practical pattern.,,,P2 - Medium,,,,Delta Pack,,Counting + Greedy,,
Top K Frequent Words,,,,,,Heaps,Product Companies,No,Medium,,,https://leetcode.com/problems/top-k-frequent-words/,,Heap with custom comparator; common backend-style question.,,,P2 - Medium,,,,Delta Pack,,Heap + Sorting,,
Kth Smallest Element in a Sorted Matrix,,,,,,Heaps,Product Companies,No,Medium,,,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,,Two approaches: heap merge or BSOA on value range. Good synthesis.,,,P2 - Medium,,,,Delta Pack,,Binary Search / Heap,,
Longest Duplicate Substring,,,,,,Strings,Upper Product Companies,No,Hard,,,https://leetcode.com/problems/longest-duplicate-substring/,,"Rolling hash + BSOA. If too heavy, at least learn rolling-hash collision handling conceptually.",,,P2 - Medium,,,,Delta Pack,,Rolling Hash + Binary Search,,
Find All Duplicates in a String - (Repeated Substring / Rabin-Karp style),,,,,,Strings,Product Companies,No,Medium,,,,,"If you skip longest-duplicate-substring, add at least one Rabin-Karp rolling hash implementation practice.",,,P2 - Medium,,,,Delta Pack,,Rolling Hash / KMP family,,
Plates Between Candles,,,,,,Arrays,,No,Medium,,,https://leetcode.com/problems/plates-between-candles/,,Uses prefix sums to handle plate count between candles. Demonstrates range sum queries and difference arrays for contiguous segments.,Advanced,Prefix Sum,P2 - Medium,,Variation,Difference Array,LeetCode,,Range Query,,L3
Falling Squares,,,,,,Segment Tree / Sweep Line,,No,Hard,,,https://leetcode.com/problems/falling-squares/,,Uses line sweep with segment tree to track intervals heights after squares fall. Shows complex interval handling.,Advanced,Sweep Line,P2 - Medium,,Variation,Segment Tree,LeetCode,,Interval Overlap,,L4
Linked List Random Node,,,,,,Linked List,,No,Medium,,,https://leetcode.com/problems/linked-list-random-node/,,Applies reservoir sampling to pick a node from a stream-like linked list uniformly at random.,Advanced,Reservoir Sampling,P2 - Medium,,Technique,Randomization,LeetCode,,Sampling,,L3
Implement Rand10() Using Rand7(),,,,,,Randomization,,No,Medium,,,https://leetcode.com/problems/implement-rand10-using-rand7/,,Uses rejection sampling to generate a uniform random number from 1 to 10 using rand7.,Advanced,Rejection Sampling,P2 - Medium,,Technique,Probability,LeetCode,,Random Sampling,,L3
Erect the Fence,,,,,,Geometry,,No,Hard,,,https://leetcode.com/problems/erect-the-fence/,,Computes the convex hull of a set of points using Graham scan or Jarvis march.,Advanced,Convex Hull,P2 - Medium,,Variation,Graham Scan,LeetCode,,Hull Construction,,L4
Range Frequency Queries,,,,,,Square Root Decomposition,,No,Medium,,,https://leetcode.com/problems/range-frequency-queries/,,Uses sqrt decomposition or block frequency counting to answer frequency of element in a range.,Advanced,Block Decomposition,P2 - Medium,,Technique,HashMap,LeetCode,,Frequency Count,,L3
Shuffle an Array,,,,,,Randomization,,No,Easy,,,https://leetcode.com/problems/shuffle-an-array/,,Use Fisher–Yates algorithm to shuffle the array uniformly in place.,Core,Fisher-Yates Shuffle,P3 - Low,,Technique,Randomization,LeetCode,,Array Shuffling,,L3
Unique Email Addresses,,,,,,HashSet / Strings,,No,Easy,,,https://leetcode.com/problems/unique-email-addresses/,,"Normalize emails by handling plus signs and dots, then use a set to count unique addresses.",Core,String Parsing,P3 - Low,,Variation,HashSet,LeetCode,,Normalization,,L3
Unique Number of Occurrences,,,,,,HashMap,,No,Easy,,,https://leetcode.com/problems/unique-number-of-occurrences/,,Count occurrences of elements and ensure all frequencies are unique using a set.,Core,HashMap,P3 - Low,,Variation,Frequency Counting,LeetCode,,Uniqueness,,L3
My Calendar I,,,,,,Sweep Line / Design,,No,Medium,,,https://leetcode.com/problems/my-calendar-i/,,Use an ordered set or balanced BST to store booked intervals and check for overlap on each insertion.,Core,Balanced BST / Ordered Set,P2 - Medium,,Design,Interval Booking,LeetCode,,Non-overlapping Intervals,,L3
Redundant Connection II,,,,,,Disjoint Set Union,,No,Hard,,,https://leetcode.com/problems/redundant-connection-ii/,,Detect and remove an extra directed edge in order to form a rooted tree. Combines indegree tracking and union find.,Advanced,Union Find,P2 - Medium,,Variation,Directed Graph,LeetCode,,Cycle Detection,,L4
Sliding Window Maximum,,,,,,Sliding Window,,No,Hard,,,https://leetcode.com/problems/sliding-window-maximum/,,Maintain a deque of decreasing values to track the maximum in each sliding window.,Core,Monotonic Deque,P2 - Medium,,Technique,Deque,LeetCode,,Max in Window,,L4
Most Stones Removed with Same Row or Column,,,,,,Disjoint Set Union,,No,Medium,,,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,,Model stones sharing rows or columns as connected components; number of removable stones is total minus number of components.,Variation,Union Find,P2 - Medium,,Technique,Graph Connectivity,LeetCode,,Stone Removal,,L3
Find ages of daughters,,,,,,Puzzles – Analytical,,No,Medium,,,,,Determine the ages of daughters based on clues.,Variation,Analytical Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Age puzzle,,L4
Monty Hall problem,,,,,,Puzzles – Analytical,,No,Medium,,,,,Classic Monty Hall probability puzzle involving switching doors.,Variation,Probability Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Probability,,L4
6×6 Grid - Ways to Reach Bottom Right,,,,,,Puzzles – Analytical,,No,Medium,,,,,Count the number of ways to reach the bottom right of a 6×6 grid.,Variation,Combinatorics Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Grid path counting,,L4
Calculate total distance traveled by bee,,,,,,Puzzles – Analytical,,No,Medium,,,,,Compute the distance traveled by a bee flying between two moving trains.,Variation,Relative Motion Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Distance and time,,L4
2 Eggs and 100 Floors,,,,,,Puzzles – Analytical,,No,Hard,,,,,Determine the minimum number of attempts needed to find the critical floor using two eggs.,Variation,Egg Drop Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Optimal strategy,,L4
Maximize the probability of White Ball,,,,,,Puzzles – Analytical,,No,Hard,,,,,Arrange balls between boxes to maximize the probability of selecting a white ball.,Variation,Probability Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Probability,,L4
Hourglasses Puzzle,,,,,,Puzzles – Analytical,,No,Medium,,,,,Measure a specific time using hourglasses of different durations.,Variation,Time Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Timing,,L4
Poison and Rat,,,,,,Puzzles – Analytical,,No,Hard,,,,,Identify the poisoned bottle using a limited number of test rats and time.,Variation,Testing Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Poison detection,,L4
3 Bulbs and 3 Switches,,,,,,Puzzles – Logical,,No,Medium,,,,,Determine which switch corresponds to which bulb using limited visits.,Variation,Logical Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Switch and bulb,,L4
Water Jug Problem,,,,,,Puzzles – Logical,,No,Medium,,,,,Measure a desired quantity of water using jugs of different capacities.,Variation,Water Jug Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Measuring water,,L4
Blind man and Pills,,,,,,Puzzles – Logical,,No,Medium,,,,,Ensure correct dosage by choosing pills blindly without waste.,Variation,Logical Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Pill selection,,L4
5 Pirates and 100 Gold Coins,,,,,,Puzzles – Logical,,No,Hard,,,,,Divide gold coins among pirates using voting strategy.,Variation,Game Theory Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Pirate division,,L4
100 Prisoners with Red/Black Hats,,,,,,Puzzles – Logical,,No,Hard,,,,,Devise a strategy for prisoners to guess hat colors and maximize survival.,Variation,Logical Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Hat guessing,,L4
Find the fastest 3 horses,,,,,,Puzzles – Logical,,No,Medium,,,,,Find the fastest three horses with minimal races and no timing equipment.,Variation,Race Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Horse race,,L4
10 Coins Puzzle,,,,,,Puzzles – Arrangement,,No,Easy,,,,,Arrange coins according to a rule or to satisfy a condition.,Variation,Arrangement Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Coin arrangement,,L3
Tic Tac Toe Puzzle,,,,,,Puzzles – Arrangement,,No,Medium,,,,,Solve an arrangement or optimal play puzzle based on Tic Tac Toe.,Variation,Game Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Tic Tac Toe,,L4
Days of the month using 2 dice,,,,,,Puzzles – Arrangement,,No,Easy,,,,,Arrange numbers on two dice to display all days of the month.,Variation,Dice Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Dice arrangement,,L3
Matchstick Puzzle,,,,,,Puzzles – Arrangement,,No,Medium,,,,,Rearrange matchsticks to form a particular shape or equation.,Variation,Matchstick Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Arrangement,,L4
10 Balls in 5 Lines,,,,,,Puzzles – Arrangement,,No,Medium,,,,,Place 10 balls in 5 lines such that each line has 4 balls.,Variation,Arrangement Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Ball-line arrangement,,L4
Round table coin game,,,,,,Puzzles – Arrangement,,No,Hard,,,,,Arrange coins around a table following specific rules or conditions.,Variation,Game Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Coin arrangement,,L4
3 cuts to cut the round cake into 8 equal pieces,,,,,,Puzzles – Shape,,No,Medium,,,,,Cut a circular cake into 8 equal pieces with 3 cuts.,Variation,Geometry Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Cake cutting,,L4
Chessboard and dominos,,,,,,Puzzles – Shape,,No,Medium,,,,,Cover a chessboard with dominos under certain constraints.,Variation,Tiling Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Domino tiling,,L4
Splitting a Cake with a Missing Piece in two equal portions,,,,,,Puzzles – Shape,,No,Medium,,,,,Divide a cake with a missing piece into two equal portions.,Variation,Geometry Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Cake division,,L4
Maximum pieces that can be cut from a Circle using 6 straight lines,,,,,,Puzzles – Shape,,No,Medium,,,,,Determine the maximum number of pieces a circle can be cut into using six lines.,Variation,Geometry Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Circle partition,,L4
3 Ants and Triangle,,,,,,Puzzles – Shape,,No,Medium,,,,,Analyze ants walking on a triangle and the probability of collision.,Variation,Geometry Puzzle,P3 - Low,,Brain Teaser,Puzzle,GeeksForGeeks,,Triangle puzzle,,L4
Subarray Sum Equals K,,,,,,Prefix / Subarray,,No,Medium,,,,,,,Prefix Sum,,Negative numbers variant breaks sliding window,,HashMap,AlgoTracker,,,,
Subarray Sums Divisible by K,,,,,,Prefix / Subarray,,No,Medium,,,,,,,Prefix Modulo,,Modulo-prefix invariant,,HashMap,AlgoTracker,,,,
Maximum Subarray Sum With Length Divisible by K,,,,,,Prefix / Subarray,,No,Medium,,,,,,,Prefix Modulo,,Length-constrained prefix variant,,DP,AlgoTracker,,,,
Count of Interesting Subarrays,,,,,,Prefix / Subarray,,No,Hard,,,,,,,Prefix Modulo,,Abstract prefix condition mapping,,HashMap,AlgoTracker,,,,
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,,,,,,Sliding Window,,No,Hard,,,,,,,Monotonic Deque,,Deque invariant variant,,Window,AlgoTracker,,,,
Subarrays with K Different Integers,,,,,,Sliding Window,,No,Hard,,,,,,,AtMostK Trick,,Exactly-K decomposition,,Window,AlgoTracker,,,,
Maximum Number of Robots Within Budget,,,,,,Sliding Window,,No,Hard,,,,,,,Window + Heap,,Cost window with priority structure,,Greedy,AlgoTracker,,,,
Median of Two Sorted Arrays,,,,,,Binary Search,,No,Hard,,,,,,,Answer Space BS,,Classic answer-space binary search,,Partitioning,AlgoTracker,,,,
Split Array Largest Sum,,,,,,Binary Search,,No,Hard,,,,,,,Answer Space BS,,Partition feasibility check,,Greedy,AlgoTracker,,,,
Kth Smallest Pair Distance,,,,,,Binary Search,,No,Hard,,,,,,,Answer Space BS,,Distance-based monotonic predicate,,Two Pointers,AlgoTracker,,,,
Minimize the Maximum Difference of Pairs,,,,,,Binary Search,,No,Medium,,,,,,,Answer Space BS,,Pairing under constraint,,Greedy,AlgoTracker,,,,
Maximal Rectangle,,,,,,Monotonic Stack,,No,Hard,,,,,,,Histogram Stack,,2D histogram lift,,DP,AlgoTracker,,,,
Maximum Subarray Min-Product,,,,,,Monotonic Stack,,No,Hard,,,,,,,Contribution Technique,,Advanced contribution variant,,Prefix,AlgoTracker,,,,
Next Greater Element IV,,,,,,Monotonic Stack,,No,Hard,,,,,,,Stack + Binary Search,,Hybrid stack variant,,Greedy,AlgoTracker,,,,
Binary Tree Maximum Path Sum,,,,,,Tree DP,,No,Hard,,,,,,,DFS,,Non-root path aggregation,,Global State,AlgoTracker,,,,
Distribute Coins in Binary Tree,,,,,,Tree DP,,No,Medium,,,,,,,Postorder DFS,,Flow-based tree DP,,Greedy,AlgoTracker,,,,
Binary Tree Cameras,,,,,,Tree DP,,No,Hard,,,,,,,State DP,,Multi-state tree DP,,Greedy,AlgoTracker,,,,
Cheapest Flights Within K Stops,,,,,,Graph,,No,Hard,,,,,,,Dijkstra Variant,,Shortest path with hop constraint,,State Graph,AlgoTracker,,,,
Shortest Path with Alternating Colors,,,,,,Graph,,No,Medium,,,,,,,BFS State Expansion,,Stateful BFS variant,,Graph Coloring,AlgoTracker,,,,
Network Delay Time,,,,,,Graph,,No,Medium,,,,,,,Dijkstra,,Classic weighted graph baseline,,Priority Queue,AlgoTracker,,,,
Find Edges in Shortest Paths,,,,,,Graph,,No,Hard,,,,,,,Dijkstra + DP,,Path contribution reasoning,,Graph Analysis,AlgoTracker,,,,
Swim in Rising Water,,,,,,Graph,,No,Hard,,,,,,,Answer BS + BFS,,Binary search on graph answer,,Grid,AlgoTracker,,,,
Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,,,,,,Graph,,No,Hard,,,,,,,MST,,MST edge classification,,Kruskal,AlgoTracker,,,,
Second Best Minimum Spanning Tree,,,,,,Graph,,No,Hard,,,,,,,MST,,MST variant depth,,Edge Replacement,AlgoTracker,,,,
Optimize Water Distribution in a Village,,,,,,Graph,,No,Medium,,,,,,,MST,,MST modeling trick,,Virtual Node,AlgoTracker,,,,
Regions cut by slashes,,,,,,DSU,,No,Hard,,,,,,,Grid DSU,,Grid-to-DSU transformation,,Component Count,AlgoTracker,,,,
Bricks falling when hit,,,,,,DSU,,No,Hard,,,,,,,Reverse Processing,,Offline DSU reasoning,,Offline,AlgoTracker,,,,
Largest component size by common factor,,,,,,DSU,,No,Hard,,,,,,,Prime Factor DSU,,DSU + number theory,,Math,AlgoTracker,,,,
